Node1,Node2
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,36
0,38
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,55
0,56
0,57
0,59
0,60
0,61
0,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
0,77
0,78
0,79
0,80
0,81
0,82
0,83
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
0,100
0,101
0,103
0,104
0,105
0,106
0,107
0,108
0,109
0,110
0,111
0,112
0,113
0,114
0,115
0,116
0,118
0,119
0,120
0,121
0,122
0,123
0,124
0,126
0,127
0,128
0,129
0,130
0,131
0,132
0,133
0,134
0,136
0,138
0,139
0,140
0,141
0,142
0,143
0,144
0,145
0,146
0,147
0,148
0,149
0,150
0,151
0,152
0,154
0,155
0,156
0,159
0,160
0,161
0,162
0,163
0,164
0,165
0,166
0,2101
0,2374
1,1736
1,1830
1,1191
2,707
3,163
3,19
3,111
3,2242
3,1042
4,474
5,714
6,60
6,419
6,2022
7,223
8,164
9,95
9,1946
9,1497
9,734
9,2243
9,1599
10,1469
11,161
11,82
14,1351
14,2101
14,56
14,577
14,723
14,1272
15,1497
16,1653
16,2241
17,760
19,2101
19,707
19,1262
20,1326
20,1799
22,74
23,114
25,438
26,1952
26,1314
26,1655
26,1667
27,588
29,52
30,2101
30,2583
30,1772
35,60
39,785
42,1351
42,2101
42,161
42,1618
42,403
42,345
43,568
43,58
43,172
45,1351
45,161
46,1754
46,2252
46,107
46,108
46,1744
46,2251
48,2101
48,161
48,556
48,1566
49,1610
49,2154
50,2101
50,161
50,2341
52,164
52,261
52,1309
52,1311
52,1312
52,84
52,1313
52,1314
52,112
52,1315
52,1317
52,1318
52,1030
52,956
53,1934
54,854
55,1959
56,95
56,121
56,2044
56,155
56,959
56,744
56,1392
57,588
59,1835
60,463
60,101
60,151
60,160
60,1976
60,663
60,1619
60,2608
60,305
60,2372
61,551
62,2075
64,1547
64,297
65,1736
65,849
66,309
66,490
66,493
66,498
66,315
67,1263
68,299
69,314
69,164
69,71
69,1044
69,2283
71,95
71,2373
71,82
71,96
71,114
71,120
71,1683
71,1951
71,2099
71,164
71,2374
71,1445
73,1385
74,1954
74,127
74,98
74,2599
74,1015
75,739
76,346
76,2540
77,845
78,2101
78,1341
78,2132
79,760
79,1120
79,160
80,453
82,2101
82,2374
83,2359
84,1309
84,1311
84,192
84,1541
86,98
86,107
86,147
86,2617
86,2521
86,935
87,111
88,532
88,2079
90,675
94,1351
94,129
94,133
94,1354
94,1896
95,1732
95,1551
95,1547
95,1736
95,106
95,1770
95,541
96,164
96,1663
96,1807
96,1809
96,259
96,1814
96,1363
98,160
98,770
98,1949
99,332
99,1857
99,114
99,1814
101,1351
101,2570
101,1315
104,760
104,776
104,1062
104,488
104,1965
106,259
106,1194
107,144
107,1982
109,2101
109,2534
109,2453
110,1663
110,1938
110,1943
110,126
110,1005
111,1621
111,1946
111,126
111,1949
111,1950
111,1951
111,149
111,148
111,2457
112,1312
114,1857
115,708
115,2253
117,1497
118,2035
118,565
118,285
118,514
120,127
120,136
120,2528
120,2253
120,148
120,2137
120,390
120,1235
121,182
122,1426
122,1129
123,1022
123,1622
127,881
127,604
128,1783
129,161
129,703
129,1020
131,510
133,2136
133,2133
133,2122
134,2618
139,232
139,1875
142,2095
143,161
144,385
145,1980
145,639
145,615
145,1683
146,1963
147,1525
148,1946
148,1949
148,161
150,1389
151,1959
152,867
155,742
155,2088
156,389
156,2687
160,2101
160,166
160,2255
161,463
161,2105
161,1770
163,591
163,2644
164,244
164,246
164,247
164,250
164,251
164,216
164,252
164,254
164,256
164,258
164,259
164,260
164,261
164,262
164,264
164,212
164,1203
165,584
166,1828
167,1400
169,1493
169,1599
169,2164
170,171
170,173
170,174
170,175
170,176
170,177
170,178
170,179
170,180
170,182
170,183
170,184
170,185
170,186
170,189
170,191
170,192
170,193
170,194
170,195
170,196
170,197
170,198
170,199
170,200
170,201
170,202
170,203
170,205
170,206
170,208
170,209
170,210
170,211
170,212
170,1539
170,2052
170,1570
171,261
171,938
174,223
174,1365
175,261
175,986
176,261
176,1159
176,1291
177,936
177,261
177,938
177,1562
179,261
180,943
180,2507
183,223
183,785
184,854
184,261
184,223
184,936
184,206
184,978
185,211
185,854
185,261
186,227
186,936
186,1797
186,2289
189,854
189,261
189,2435
190,223
191,261
191,193
192,854
192,933
192,672
192,240
193,261
193,962
193,968
193,969
193,197
193,861
193,206
193,957
193,219
193,2698
193,2502
194,213
194,205
194,1102
194,701
194,1620
195,213
195,261
195,1389
195,743
196,950
196,261
196,1966
197,213
197,943
197,1017
198,213
198,950
198,261
198,223
198,2102
199,213
199,1505
199,1973
199,2325
200,865
200,261
200,872
200,1237
201,261
201,740
202,261
202,1274
203,854
203,260
203,261
203,223
203,2371
204,1655
205,854
205,945
205,949
205,212
205,223
206,261
206,249
206,936
206,978
206,1668
206,2276
206,1046
206,680
206,2301
208,978
209,272
209,261
209,969
209,1324
209,1727
209,1675
210,2411
211,261
211,1389
212,854
213,216
213,219
213,220
213,221
213,223
213,224
214,943
214,1115
215,223
215,1835
216,1015
216,1016
216,254
216,1017
216,1018
218,1962
219,936
219,261
219,1918
219,2445
220,272
220,854
220,261
220,223
220,1102
220,680
221,2571
223,854
223,260
223,261
223,958
223,397
223,226
223,415
223,740
223,984
223,227
223,947
223,860
223,262
223,978
223,427
223,985
223,986
223,987
223,376
223,2355
224,2594
224,1309
225,261
225,2291
226,446
226,261
227,978
227,1467
227,2152
227,1267
227,2697
228,526
228,572
228,1425
229,884
230,854
231,433
232,346
234,1457
236,1540
237,1005
242,2009
242,928
243,1502
243,1506
244,261
244,799
244,451
244,354
244,1126
244,1233
244,361
244,685
244,1235
244,781
244,1237
244,2370
244,1694
244,615
246,261
246,255
246,1514
247,261
249,936
249,261
250,377
250,261
250,1625
251,1242
251,510
252,914
252,2566
254,1963
254,1814
254,2307
255,261
256,818
256,261
259,261
259,1963
259,591
260,854
260,856
260,261
261,854
261,958
261,932
261,937
261,933
261,951
261,959
261,960
261,961
261,962
261,389
261,963
261,855
261,964
261,965
261,966
261,968
261,856
261,969
261,934
261,970
261,971
261,972
261,938
261,973
261,974
261,975
261,976
261,977
261,744
261,947
261,936
261,860
261,861
261,262
261,978
261,979
261,980
261,862
261,981
261,943
262,410
263,2213
264,2673
264,1283
264,1548
265,269
265,272
265,2054
266,759
267,272
267,1599
267,1015
268,377
268,818
269,818
269,1382
269,2409
269,2567
269,1623
272,273
272,275
272,278
272,279
272,281
272,282
272,284
272,285
272,286
272,287
272,288
