Node1,Node2
0,1
0,2
0,3
0,4
0,5
0,8
0,9
0,10
0,11
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,22
0,23
0,24
0,25
0,26
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,38
0,39
0,40
0,41
0,42
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,55
0,56
0,57
0,60
0,61
0,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
0,77
0,78
0,79
0,80
0,81
0,82
0,83
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
0,100
0,102
0,103
0,104
0,105
0,106
0,107
0,109
0,110
0,111
0,112
0,113
0,114
0,115
0,119
0,120
0,121
0,122
0,126
0,127
0,129
0,130
0,131
0,132
0,133
0,134
0,135
0,136
0,138
0,139
0,141
0,143
0,144
0,146
0,147
0,148
0,149
0,150
0,151
0,152
0,154
0,155
0,157
0,158
0,159
0,160
0,161
0,162
0,163
0,164
0,165
0,166
0,2101
0,2374
2,68
3,163
3,19
3,47
3,1948
3,111
3,1557
4,714
5,714
7,223
7,1780
7,653
8,164
8,1619
8,2033
9,95
10,96
11,161
11,1491
11,763
11,1080
13,903
13,96
13,1554
13,854
14,2101
14,2613
16,865
19,2278
22,1633
23,967
23,1135
28,1784
30,1297
30,2044
30,2101
30,1887
30,2106
30,2441
30,1841
31,1676
34,1177
34,1231
34,934
34,2591
35,60
42,1351
42,2101
44,205
45,2101
45,2456
47,1949
47,1504
47,201
47,301
48,2101
48,161
48,1248
48,2508
50,1351
50,2101
50,161
50,1665
50,1968
51,1327
51,174
52,164
52,261
52,1312
52,84
52,1315
52,1319
52,956
54,854
55,1959
55,2704
56,95
56,167
56,155
58,1008
60,462
60,463
60,466
60,151
60,1976
60,1423
60,1755
61,551
61,1611
61,1917
61,2010
61,471
61,911
63,160
63,1399
63,806
64,1547
64,99
64,643
65,1736
66,490
66,498
66,315
66,1807
67,2080
67,215
68,777
69,164
69,71
71,95
71,1874
71,2372
71,2373
71,82
71,96
71,114
71,120
71,2099
71,164
71,2374
71,1512
73,1564
74,684
74,2548
76,1663
76,98
76,2352
76,106
78,2101
79,760
79,1120
81,164
81,1399
81,180
81,577
82,2101
82,425
84,1423
85,1552
86,98
86,107
86,141
87,111
87,2643
87,1418
87,2148
88,1144
88,308
89,1863
90,217
90,1090
91,2101
91,208
92,120
93,108
93,1070
94,1351
94,1354
95,1732
95,1551
95,1547
95,1497
95,106
95,1770
95,2234
96,164
96,1663
96,1806
96,1807
96,1809
96,259
96,1813
96,1814
96,662
98,828
98,947
99,1857
99,114
99,134
99,1814
99,1759
100,1918
100,2683
101,1351
101,781
104,760
104,776
104,1767
104,2536
106,259
107,2500
107,2681
107,2197
108,797
108,1169
108,1049
110,1663
110,1938
110,1809
110,1942
110,1943
110,126
110,2540
110,312
110,2426
110,981
111,1946
111,126
111,1950
111,149
111,148
111,804
112,1959
112,2130
114,1988
114,1913
115,436
116,2101
116,684
116,633
119,366
120,1809
120,127
120,136
120,148
120,2137
121,1977
127,470
128,1008
130,2136
131,887
131,2558
133,578
135,841
136,2016
138,2101
138,185
139,353
139,2582
139,781
140,222
141,941
141,2365
141,1917
145,1174
148,161
149,1000
149,1787
151,1959
154,1958
154,1189
154,550
154,875
155,1012
155,1067
158,1917
159,714
159,308
159,619
159,366
160,2101
160,2255
161,2105
161,1770
161,1249
163,2033
163,1097
164,244
164,245
164,246
164,248
164,249
164,250
164,216
164,252
164,253
164,254
164,256
164,257
164,258
164,259
164,260
164,261
164,262
164,263
164,212
166,2101
166,361
166,477
167,744
168,2523
169,1493
170,171
170,173
170,174
170,176
170,177
170,179
170,180
170,182
170,183
170,184
170,185
170,186
170,189
170,190
170,191
170,192
170,193
170,194
170,195
170,196
170,197
170,198
170,199
170,200
170,201
170,202
170,203
170,204
170,205
170,206
170,209
170,210
170,211
170,212
170,2014
170,747
170,1134
171,261
171,938
173,477
173,1845
174,223
174,253
174,1676
175,261
175,2162
176,261
176,1208
177,936
177,261
179,261
179,1857
181,2007
182,579
183,223
184,854
184,261
184,223
184,978
184,1871
185,225
185,854
185,261
185,1670
185,1519
185,1736
186,936
189,854
189,261
189,2686
189,1696
190,223
190,1017
191,261
192,854
192,932
192,1315
192,492
193,261
193,968
193,969
193,197
193,206
193,2347
194,213
194,205
195,213
195,261
195,1389
195,2250
196,261
196,1658
197,213
197,943
197,1017
197,227
198,213
198,950
198,261
198,223
200,865
200,261
200,872
201,261
201,740
202,261
203,854
203,260
203,261
203,223
203,927
205,854
205,945
205,212
205,223
206,261
206,249
206,978
206,1668
206,1218
206,418
208,241
209,272
209,261
209,969
210,2596
210,1011
211,261
211,1389
211,827
212,854
212,433
212,220
213,214
213,216
213,218
213,219
213,220
213,221
213,222
213,223
213,224
213,2423
213,502
215,223
215,1835
216,222
216,1018
216,1737
218,802
218,1467
219,936
219,261
219,1751
220,272
220,854
220,261
220,223
223,854
223,260
223,261
223,958
223,983
223,226
223,740
223,984
223,227
223,947
223,860
223,262
223,978
223,985
223,986
223,987
223,376
225,940
225,261
226,446
226,261
226,1490
227,978
227,1467
227,2029
228,2001
235,2409
235,2516
236,1211
242,2095
244,261
244,451
244,1233
244,361
244,685
244,1236
244,781
244,1237
244,578
244,380
244,610
245,2515
246,261
247,261
248,1014
248,789
248,1066
249,936
249,261
249,336
249,1831
250,261
252,511
252,684
254,1814
254,2007
255,261
256,818
256,261
259,261
259,1963
260,854
260,261
261,854
261,958
261,932
261,937
261,933
261,951
261,959
261,960
261,961
261,962
261,389
261,963
261,855
261,964
261,965
261,966
261,967
261,968
261,856
261,969
261,934
261,970
261,971
261,972
261,938
261,973
261,974
261,975
261,976
261,744
261,947
261,936
261,860
261,861
261,262
261,978
261,862
261,981
261,943
262,689
265,268
267,272
268,377
268,1506
268,500
268,2704
269,818
269,840
269,1382
269,2409
269,798
272,273
272,275
272,279
272,280
272,282
272,284
272,286
272,287
272,288
272,291
272,292
272,293
272,294
272,296
272,297
272,299
272,301
272,304
272,307
272,1382
272,433
272,1617
273,2240
274,2234
280,619
280,626
280,2500
282,1493
282,1269
282,1711
283,1066
284,377
284,1493
284,635
284,1359
284,1971
286,1130
287,818
287,351
287,787
287,1491
288,989
292,1608
292,1190
293,417
294,377
295,466
296,1238
296,591
297,1493
297,1496
297,631
298,377
299,714
299,1081
300,1676
301,1918
302,1942
304,1187
306,1472
307,1493
307,497
308,1226
309,314
310,918
311,1617
313,2004
313,865
315,728
316,1529
316,2276
318,372
318,2301
323,970
323,802
324,594
325,1809
326,854
326,2071
329,1240
329,649
329,1755
330,1385
331,931
332,928
333,1135
335,1232
335,625
336,795
336,1948
336,2705
340,847
341,345
341,1414
344,1194
345,551
345,881
345,1302
345,1015
346,347
346,348
346,349
346,350
346,351
346,353
